puzzle_id,puzzle,solution,difficulty
4,030708400008201005000600800003009008520000000006000500200840009900000052367005000,132758496648291375759634821473569218521487963896312547215846739984173652367925184,0.284
9,500040081002000090000905000001820005008700020400010009230000000000250930705400206,597342681342168597816975342971823465658794123423516879239681754164257938785439216,0.328
13,000002006050030400000100030260450390010680500007923000092300001005000200000005000,734592816951836472826174935268451397319687524547923168692348751185769243473215689,0.398
19,000010403100324007480070612000450900000060000004001006005046039000235000000190060,527618493196324857483579612862453971751962384934781526275846139619235748348197265,0.269
21,000060192780003006006052300020300950000901804800540203200604000009075438007819005,345768192782193546916452387624387951573921864891546273258634719169275438437819625,0.384
30,000004100010000074509170268000900000090641030006730010000010605000000020001058749,768524193312869574549173268173982456295641837486735912934217685857496321621358749,0.5
32,005900470002064509090300268006798132200046090000200650008070305730020900400083000,865912473372864519194357268546798132213546897987231654628179345731425986459683721,0.355
42,000800153008006700095312064070960341003700605000103007380094010004000000000007406,246879153138456729795312864872965341413728695659143287387694512564231978921587436,0.422
68,840902000203500086090867400082000000014256308007080000000690003759024000000005200,846932517273541986195867432582173649914256378367489125421698753759324861638715294,0.389
72,000500000080000000000048010058021700009050002200089135007065400092000086000802090,423516978681397254975248613358421769719653842246789135837965421592174386164832597,0.274
76,507000400000950701009078002000709100000000230400200070050087300714090000800002000,587126493326954781149378562238749156971865234465231978652487319714693825893512647,0.44
79,008040090000500824000008013630090240752030006080070530800000470590300168200000000,128743695376519824945268713631895247752134986489672531863951472594327168217486359,0.382
84,096000102081062304004003060600087000900316085000045706000509010700000653000070020,396854172581762394274193568653287941947316285128945736462539817719428653835671429,0.394
90,004006700039007005000200000940320080000000240523000609000003050000000000360000974,254986731639147825817235496946321587781659243523478619498763152172594368365812974,0.417
96,920300640863001572104600000010030904690100320340900718000703409436000000700800036,925387641863491572174625893517238964698174325342956718281763459436519287759842136,0.397
97,250000000000100570901500230000000912600000458000400000700806020000000007000270006,257394681843162579961587234374658912692713458185429763719846325526931847438275196,0.338
98,016504000080000000970021050000000080001043560050072031037000090000300170500007000,316584729285739614974621853743156982821943567659872431137465298462398175598217346,0.288
101,000040670400076005700085423902000050007008006080620701604000017371054000090000000,825143679439276185716985423962417358147538296583629741654392817371854962298761534,0.378
102,067042000300561480180000005910050000000000006040200809090020000053179004000380900,567842193329561487184793265918456732732918546645237819491625378853179624276384951,0.431
106,197060054846025703000000890600000900004690185050280307080039000060102530002806070,197368254846925713523417896638571942274693185951284367485739621769142538312856479,0.427
107,506000000000006301001908506060390802908205000000041000004709180800500000109083000,596132478782456391341978526465397812918265734237841659654729183823514967179683245,0.313
111,006070000000000040200500080050049000900007400007050009025080104300700000860405720,436178952578392641291564387153249876982637415647851239725983164314726598869415723,0.482
113,000528194049001500205007308000803450520000900480005601000370000002086010760100800,637528194849631527215947368971863452526714983483295671158379246392486715764152839,0.353
115,040020008801030000070008431000602000306004120025103006658249010000015600014070500,543921768861437259279568431197652843386794125425183976658249317732815694914376582,0.416
116,000000049087000060694000087006001905000000600003000000008403200000010050010008790,235786149187349562694152387746821935821935674953674821578493216369217458412568793,0.272
118,010092340500608107040710560080967000070000020050001006097030000160000073005000684,716592348523648197849713562382967415671354829954281736497836251168425973235179684,0.295
122,608070054095040080214500709009007800060824905047095001000060007000000098070908000,638279154795341682214586739529137846163824975847695321982463517356712498471958263,0.487
123,000050207000000000020060000004007100000008070608020000806170530019005006000200904,461853297985712463723964851534697128192348675678521349846179532219435786357286914,0.484
125,009130560600900007104000090401000009507029030000014000040000010000207608090000070,279138564638945127154672893481763259567829431923514786742386915315297648896451372,0.313
127,007000950500070600096004780000000000400000576079601802900765408000018065000000197,147826953583179624296534781652487319418392576379651842921765438734918265865243197,0.262
129,324608005000319064901400380100000000002106000039250071410800000007041638806093002,324678195785319264961425387148937526572186943639254871413862759297541638856793412,0.396
136,043109720020004890600720000000200000000641970070000602010436089980012300432000100,843159726725364891691728534369275418258641973174983652517436289986512347432897165,0.332
145,000827400107600020000040967001004000000001704000569380008730240000010000400950006,695827413147693528823145967981374652356281794274569381518736249769412835432958176,0.47
148,000620003007100048080007160004710025100000407000800006090501004041370009000900080,415628973627193548389457162934716825168235497572849316296581734841372659753964281,0.311
149,870004000000000800604005013900001080000409006060700059206953471391207568040006002,879314625513692847624875913937561284158429736462738159286953471391247568745186392,0.375
152,000020050000005470508761090204639010000004005806057902000800730083976501000000600,397428156612395478548761293254639817179284365836157942965812734483976521721543689,0.41
157,030806509105000673070500800001007405064050020708000900000080000800290056000005000,432876519185429673679513842321967485964158327758342961597681234813294756246735198,0.38
161,000000000800000013026001075400130750063008000910200080000000000000300460000704020,175693248894527613326841975482139756563478192917265384248916537759382461631754829,0.339
166,000594087406000000070060400005648201000000894000029563600200700700400000512000040,123594687456837912978162435395648271267351894841729563684213759739485126512976348,0.293
170,790080000108029407043070085000490000600030004810700003080000500402010300900803042,795384621168529437243671985537492816629138754814765293381246579452917368976853142,0.411
185,780309000690150070000008000010706020006805100000930006004610200038400000000500000,782369415693154872541278369319746528476825193825931746954613287238497651167582934,0.359
186,800001000000907380370600000689000002200560100005800600140095067058006209020710435,894351726562947381371682954689173542237564198415829673143295867758436219926718435,0.457
189,806090250001006039000080000178904500000060000020010000907023140000009600000078090,846397251751246839239581764178934526593762418624815973987623145312459687465178392,0.46
190,500340891380750620014000370800000000001800003703160008000008507002006480950417006,567342891389751624214689375845973162691824753723165948436298517172536489958417236,0.267
192,070000000010000036600003001401700003000000060896310000100000600702038415000071300,378126549514897236629453871451762983237589164896314752183245697762938415945671328,0.337
196,009700846000090052030006090040257080795000023080940005900678530300020900007019000,519732846678194352432586197143257689795861423286943715924678531361425978857319264,0.324
197,104856090090470008258009000380010000000000800420085063902560030730001080800790620,174856392693472518258139746389617254561324879427985163912568437736241985845793621,0.308
207,080304702012060394000002050090050460000406500460030200620000835108000940300000127,586394712712865394943172658897251463231486579465937281624719835178523946359648127,0.306
214,070320401013600970594701200400030000030067005000090000650200000042870600007906042,876329451213654978594781236468532197139467825725198364651243789942875613387916542,0.34
215,000300000178009650003001020035900040419080560060105300000607000980504030540008197,294356718178429653653871924735962841419783562862145379321697485987514236546238197,0.395
227,005300070307801200000005300180647005000000400050010007200176580071082643000000710,825394176397861254416725398182647935739258461654913827243176589971582643568439712,0.315
236,000004062254706800006025704080079053000063100000000490600301270000600001007590306,739814562254736819816925734482179653975463128361258497698341275523687941147592386,0.429
238,100002000308000000500030010003240001205083900080000020059010030002009007600000890,164972358328165479597834216973246581215783964486591723759418632832659147641327895,0.315
239,210005800350900000800300000030100704000430005000506210400000050000791026002804070,217645839356978142849312567635129784128437695794586213471263958583791426962854371,0.303
243,000004039900000000236009000000078000010930002305000800503000100090051748700000050,178524639954763281236819574469278315817935462325146897583497126692351748741682953,0.456
244,500004810000870000030100700000023080003590200490000005000002006820001003301040008,576234819914875632238169754657423981183596247492718365745382196829651473361947528,0.253
248,000065902060798050795342086080620700206009000004503260001800029320900000050034600,438165972162798453795342186583621794216479835974583261641857329327916548859234617,0.272
249,000003081480010700006089302008000096935000107001020000000598070850300060090000010,729453681483216759516789342278135496935864127641927835164598273852371964397642518,0.315
254,020000070153070840007010000370501620200008007016703004932184060760050409000967002,628435971153279846497816253379541628245698137816723594932184765761352489584967312,0.461
255,000065000700940800800730150508070006006008724000006508400007291000000085605089307,139865472752941863864732159518274936396518724247396518483657291971423685625189347,0.309
260,040689251002000000006020780050002840030008960290070500379004020105000400004103070,743689251582741396916325784651932847437518962298476513379864125165297438824153679,0.465
269,009705820628030900500000603050000730100003090080050461030000140091040000740300059,319765824628134975574829613452691738167483592983257461835972146291546387746318259,0.325
270,000005103360010200100390700800000405650200897403080612040003500500800901000409078,729645183364718259185392764872961435651234897493587612948173526537826941216459378,0.474
282,000070100570600080090400000046751028730200910200900600350007000120560890680390050,462875139573619482891423576946751328738246915215938647359187264127564893684392751,0.427
288,027004001900126700010730829001078600069001500780069413000900236070610004000053000,527894361938126745416735829341578692269341578785269413154987236873612954692453187,0.256
289,300600801900028070020005064087300009030700000209504730403001500600803100801956000,345697821916428375728135964187362459534789612269514738493271586652843197871956243,0.462
294,027000608301080000680000001870351000004902083005000070703045800098007005500839010,427193658351786429689524731872351964164972583935468172713245896298617345546839217,0.361
300,530008162009000804080265003308026415000001009000574080002603500006089030793050048,537498162269317854184265973378926415645831729921574386812643597456789231793152648,0.466
304,900000000700930510002085000259070000007000900140009000090410000020000100571003604,965741238784932516312685749259378461837164925146259873698417352423596187571823694,0.292
308,901007600537826000480009020169058400240070106803000090700040800008300000304000561,921437658537826914486519327169258473245973186873164295752641839618395742394782561,0.312
311,060020007008010043790000162070108520005064098040572300007000000030901205100050039,361429857528617943794835162673198524215364798849572316957243681436981275182756439,0.349
312,063090005500060070000003906900034010134906500806200400310008000000105803028070050,763491285549862371281753946972534618134986527856217439315648792497125863628379154,0.292
313,020096407900000086087000192016032050002150360030068001000603809308970005204080600,125896437943217586687345192816732954472159368539468721751623849368974215294581673,0.28
316,000900000000480000000700154072300045000050020000294867000040008907000013000003000,436915782715482639289736154872361945694857321153294867321649578967528413548173296,0.34
322,090370000000000006708092001304008509800900030000030180006000005002050000407006200,695371842213584976748692351374168529821945637569237184986723415132459768457816293,0.322
329,020400700009006408700009531000030000310092070000000600070060000901080040600200910,528413769139756428746829531867534192315692874492178653274961385951387246683245917,0.274
330,000305400230060000006902100690407005058100040410500000900003000063200000784050090,879315426231864579546972138692437815358126947417598263925743681163289754784651392,0.3
334,000090000000702010000064007804900500609503080020006090095000002000600000006279300,267195834458732619913864257834917526679523481521486793795348162342651978186279345,0.387
335,410305907009010063673804000006000814005080070000900506000030000800609700060048000,412365987589712463673894251796523814125486379348971526254137698831659742967248135,0.483
344,056000920020500070007100000034000100700015000510048062060400000000201006000000090,356784921821569473947132685634927158782615349519348762268493517495271836173856294,0.451
350,004510000096040030005000240007050090000000700010000600300020409000106070060000058,234517986196842537875369241647251893528693714913478625381725469459186372762934158,0.31
361,004080703009000010310900000021005000003000060005600032030709000100000000500164070,264581793759432816318976425621345987973218564485697132836759241147823659592164378,0.42
365,000090052000042608000000003060000500008265000050008000000700305005010470719054806,841693752537142698692587143264931587178265934953478261486729315325816479719354826,0.447
370,000010050408067213000080600000958070176400895000070432017840020023091784800020300,762314958498567213351289647234958176176432895985176432617843529523691784849725361,0.438
372,071408002000579000900003000400000017020940300030100080800650700246000000700800460,371468592682579143954213678469385217128947356537126984893654721246791835715832469,0.355
373,045000000008600700700589002002060400070900018850002369007458603560103004000000070,245317986918624735736589142392861457674935218851742369127458693569173824483296571,0.449
377,000000314210000000000100600000000453030709280000005001900000102000006540300002060,576928314213564978849173625697281453135749286482635791964857132728316549351492867,0.498
380,500000000230086000080002094450010900000269000900050020000700200000300408300028009,579134682234986517186572394452817963713269845968453721891745236627391458345628179,0.451
381,800100300019000004300089021000000840064810203500430600080000000007300005020000408,852174396719263584346589721231956847964817253578432619685741932497328165123695478,0.307
382,000806420006002070400913080000600207800107060762090018031000506600000800008000000,519876423386452179427913685194638257853127964762594318231789546675341892948265731,0.44
383,035020640004006027210000090069003078047000000180700006050000189400968352008000704,735829641894316527216457893569143278347682915182795436653274189471968352928531764,0.261
385,000068009009207000040109000200000907300006205000000080065000002702095810900472006,123568479859247631647139528284351967371986245596724183465813792732695814918472356,0.292
387,070090532063002000580370000856401007000526084300900006130069000645010820290040600,471698532963152748582374961856431297719526384324987156138269475645713829297845613,0.293
388,000000460026034809940000037000059001000010000610800300203705106807190205051068793,135987462726534819948621537382459671574316928619872354293745186867193245451268793,0.294
390,000000100104060000302000000019604000400000060600009004860900017031007608007810000,786392145154768329392451876519634782473285961628179534865923417231547698947816253,0.353
396,068000049700000000924003710070000000200005100800010007400060090690000004500000670,368127549715649382924853716176482935243975168859316427437568291692731854581294673,0.351
397,005008000800020600006003029400500000008302070000104536050470190084210700701030000,925648317837921645146753829463597281518362974279184536352476198684219753791835462,0.258
398,102000706008700140473060529200000007007630002301200405604005070730080201815000630,192543786568792143473861529246158397957634812381279465624315978739486251815927634,0.459
399,075009601830000040600781053000900008000020500008070002000090000000504006004000005,275349681831652749649781253127935468963428517458176392586293174792514836314867925,0.474
400,300004290068000007000008000502400700037000580106790000000860000609530010010940370,351674298268359147974218635592483761437126589186795423723861954649537812815942376,0.268
